,затраты и цены приведены по ситуации на 31.07.2021,,,,,,,,,,С кап затратами,
Кап затры,,,,"Произведено продукции, (л):",,Себестоимость продукции (с учетом кап затрат),Оценочная стоимость,,,,,
Дистилятор,"р.57 500,00",,,,,,,,,,"р.141 407,00","р.4 159,03"
Горелка,"р.13 500,00",,,Масло,34,"р.4 159,03","р.141 407,00",,,,"р.141 407,00","р.261,86"
Доработка дистиллятора,"р.19 460,00",,,Гидролат,540,"р.261,86","р.141 407,00",,,,,
Лабораторное оборудование,"р.5 800,00",,,,,,"р.282 814,00",общая сумма в продукиции,,,Только операционные,
Болер (10%),"р.0,00",,,,,,"р.141 407,00",50%,,,,
Кап стройка (и рабочая сила и материалы),"р.0,00",,,,,,,,,,"р.88 927,00","р.2 615,50"
Логистика,"р.8 700,00",,,,,,,,,,"р.88 927,00","р.164,68"
,,,,,,,,,,,,
Итого:,"р.104 960,00",,,,,,,,,,,
,,,Теоретический выход масла из обьемов поля(л),,,"31,7",,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Операционные затры,,,"Выход масла фактический, (кг):",,"29,24",,,,,,,
Цена срезки,"р.52 500,00",,,,,,,,,,,
,,,,,,,,,,,,
Флаконы масла и гидролата (розница),"р.11 410,00",,Срезано цветов с поля всего:,,2100,,,,,,,
Канистры для масла и гидролата (опт),"р.16 352,00",,,,,,,,,,,
"Газ, электричество, лед и аренда","р.21 837,00",,,,,,,,,,,
Помошник операторатора дистиллятора,"р.10 000,00",,Срезано с верхнего поля:,,240,,,,,,,
рабочая сила по срезке,"р.23 625,00",,,,,,,,,,,
ГСМ на трактор,"р.5 540,00",,,,,,,,,,,
,,,,,,,,,,,,
Технолог и менеджер проекта,"р.48 000,00",,,,,,,,,,,
,,,,,,,,,,,,
Непредвиденные расходы,"р.0,00",,,,,,,,,,,
,,,,,,,,,,,,
,"р.177 854,00",,,,,,,,,,,
,,,,,,,,,,,,
Итого:,"р.282 814,00",Себестоимость продукции,"р.2 804,51",на 1 кг,,,,,,,,
,,С кап затратами,"р.4 459,58",,рассчеты с учетом гидролата и масла,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Аналитическая информация:,,,,,,,,,,,,
Даты дистилляции:,17.07 по 30.07,,,,,,,,,,,
Количесво рабочих дней:,13+2,,,,,,,,,,,
Количесво дистилляций:,23,,,,,,,,,,,
Израсходованно газовых баллонов,"14,5",,,,,,,,,,,
Обьем затраченой воды:,17 кубов,,,,,,,,,,,
Процент выхода масла фактический:,"1,5%",,,,,,,,,,,
Процент потерь из-за несовершенства установки:,40%,,,,,,,,,,,
"Произведено масла, (л):",34,,,,,,,,,,,
"Произведено гидролат, (л):",540,,,,,,,,,,,
"Выход масла фактический, (кг):","29,24",,,,,,,,,,,
"Срезано цветов с поля всего, (кг):",2340,,,,,,,,,,,